model,binary_f1,binary_precision,binary_recall,binary_AUPRC,binary_AUROC,micro_f1,micro_precision,micro_recall,micro_AUPRC,micro_AUROC,macro_f1,macro_precision,macro_recall,macro_AUPRC,macro_AUROC
Dummy (Always Predict 0),0.0,0.0,0.0,0.1477243507328362,0.5,0.8522756492671638,0.8522756492671638,0.8522756492671638,0.1477243507328362,0.5,0.4601235510515722,0.4261378246335819,0.5,0.1477243507328362,0.5
Dummy (Always Predict 1),0.25742130614988235,0.1477243507328362,1.0,0.1477243507328362,0.5,0.1477243507328362,0.1477243507328362,0.1477243507328362,0.1477243507328362,0.5,0.12871065307494117,0.0738621753664181,0.5,0.1477243507328362,0.5
LR + Baseline,0.317582640438045,0.20703331570597566,0.6814621409921671,0.23256219216327212,0.6641100547072685,0.567369503728465,0.567369503728465,0.567369503728465,0.23256219216327212,0.6641100547072685,0.500438379042552,0.5577208620571921,0.6145280232793088,0.23256219216327212,0.6641100547072685
LR + DistilBERT,0.3610261237938338,0.24741935483870967,0.6675369886858138,0.29732463283473315,0.7192813022821763,0.650938544613011,0.650938544613011,0.650938544613011,0.29732463283473315,0.7192813022821763,0.5604546909762482,0.5828802631397482,0.6577992682152858,0.29732463283473315,0.7192813022821763
LR + BlueBERT,0.36212086131048854,0.2466876971608833,0.68059181897302,0.29253613124268774,0.7184465598779317,0.6457958344047313,0.6457958344047313,0.6457958344047313,0.29253613124268774,0.7184465598779317,0.5584743311624971,0.5835217999693305,0.6601782446803552,0.29253613124268774,0.7184465598779317
LR + Baseline + DistilBERT,0.3889573576534385,0.2713204951856946,0.6866840731070496,0.32890150128693285,0.7487755557804993,0.6812805348418617,0.6812805348418617,0.6812805348418617,0.32890150128693285,0.7487755557804993,0.5866866969152487,0.598699261966564,0.6835140081932894,0.32890150128693285,0.7487755557804993
LR + Baseline + BlueBERT,0.3889573576534385,0.2713204951856946,0.6866840731070496,0.3201713445958627,0.7487017051038104,0.6812805348418617,0.6812805348418617,0.6812805348418617,0.3201713445958627,0.7487017051038104,0.5866866969152487,0.598699261966564,0.6835140081932894,0.3201713445958627,0.7487017051038104
RF + Baseline,0.025256511444356748,0.13559322033898305,0.01392515230635335,0.19790689062574157,0.6255298703996116,0.8412188223193623,0.8412188223193623,0.8412188223193623,0.19790689062574157,0.6255298703996116,0.46941319518610164,0.493840996592468,0.49926910805844144,0.19790689062574157,0.6255298703996116
RF + DistilBERT,0.0846805234795997,0.36666666666666664,0.047867711053089644,0.27362694699480156,0.6979210607819296,0.847132939058884,0.847132939058884,0.847132939058884,0.27362694699480156,0.6979210607819296,0.500641447122419,0.6116238419856669,0.5167683705363503,0.27362694699480156,0.6979210607819296
RF + BlueBERT,0.08314087759815242,0.36,0.04699738903394256,0.2797361442788494,0.7055071992265438,0.8468758035484699,0.84687580354847,0.84687580354847,0.2797361442788494,0.7055071992265438,0.49980148319831874,0.6082249606712113,0.5162577833689851,0.2797361442788494,0.7055071992265438
RF + Baseline + DistilBERT,0.18084473527662104,0.2857142857142857,0.13228894691035684,0.2501866384085179,0.6755888787314122,0.8229622010799691,0.8229622010799691,0.8229622010799691,0.2501866384085179,0.6755888787314122,0.5408007460166889,0.574060565435117,0.5374825334944,0.2501866384085179,0.6755888787314122
RF + Baseline + BlueBERT,0.17671641791044776,0.2813688212927757,0.1288076588337685,0.2514841805225723,0.6785698202678029,0.8227050655695551,0.8227050655695551,0.8227050655695551,0.2514841805225723,0.6785698202678029,0.5386859951377756,0.5716689666309438,0.5358927417716889,0.2514841805225723,0.6785698202678029
